#{"t_start": 1779600975.013974, "env_id": "None"}
r,l,t
-11.190039,73,167.532992
-10.802162,79,167.539418
-10.952649,91,167.545873
-11.8522835,90,167.568517
-10.787698,77,167.641539
-10.993511,74,167.650802
-11.035639,97,167.676739
-10.913994,82,167.685851
-11.17325,78,167.759717
-11.375162,84,167.759761
-10.98817,86,167.803983
-10.796085,122,167.84919
-10.768978,85,167.881301
-11.668614,103,167.903298
-10.761417,82,167.921489
-11.185469,83,167.968172
-11.192207,85,168.004003
-11.307783,76,168.032486
-11.265627,112,168.067019
-11.040318,98,168.107149
-10.744879,92,168.134228
-10.823759,99,168.172338
-10.83641,94,168.198999
-11.173372,90,168.231352
-11.185603,79,168.242256
-10.785411,71,168.270858
-10.808604,83,168.314392
-11.206946,75,168.337354
-11.198488,75,168.347355
-10.904419,73,168.370864
-10.985073,69,168.406246
-10.905663,82,168.446051
-10.728854,99,168.50667
-11.33065,122,168.513436
-11.122505,80,168.517517
-11.480477,110,168.597462
-10.820595,83,168.619822
-10.771511,83,168.63199
-11.167857,102,168.656332
-11.2204,77,168.7066
-10.969255,81,168.744396
-11.211657,89,168.744449
-11.268994,68,168.748765
-10.76044,77,168.812165
-10.936285,81,168.859577
-10.88821,80,168.863427
-11.156836,87,168.868981
-10.694133,70,169.006932
-11.555269,73,169.059664
-11.40781,80,169.073433
-10.962517,81,169.081153
-11.186062,82,169.134084
-10.954379,80,169.179713
-10.786345,91,169.216544
-10.882402,98,169.219451
-11.142779,89,169.259463
-11.510698,102,169.321964
-10.846899,81,169.327122
-11.47699,87,169.337915
-11.219966,96,169.390586
-11.002516,84,169.443435
-11.659211,93,169.451618
-10.70316,82,169.453386
-10.852749,89,169.518308
-11.338492,72,169.548523
-10.826976,93,169.585946
-10.744855,94,169.58833
-11.210571,87,169.66724
-11.535049,111,169.67172
-11.014726,76,169.689537
-11.147852,88,169.703674
-11.036919,67,169.766964
-11.020259,87,169.793326
-11.676206,85,169.815458
-10.785486,80,169.822444
-11.273042,101,169.910191
-10.955626,91,169.92245
-11.063994,75,169.92838
-11.130838,98,169.955094
-10.933218,82,170.044306
-10.817769,69,170.051791
-10.860601,110,170.078182
-11.06515,127,170.09177
-10.963193,86,170.168314
-11.191808,92,170.16986
-10.838621,79,170.187051
-11.237982,87,170.211378
-10.708513,83,170.297784
-10.839245,98,170.301752
-11.284608,109,170.318276
-10.948829,96,170.34206
-11.051238,76,170.484487
-11.24258,95,170.506727
-10.91983,95,170.528816
-10.893238,85,170.538206
-10.876213,71,170.58777
-11.093893,91,170.635017
-11.162641,77,170.643539
-12.025643,140,170.723305
-11.063713,100,170.723377
-10.91541,82,170.75856
-11.056928,118,170.804743
-10.707754,73,170.832736
-11.083216,82,170.845589
-10.643856,76,170.872745
-11.398546,86,170.926438
-10.795167,69,170.941732
-11.890216,100,170.972882
-11.373818,97,171.006403
-11.308524,88,171.046397
-11.497406,80,171.050907
-10.730974,80,171.083882
-10.9987,87,171.130127
-11.213061,64,171.139555
-11.318305,88,171.177619
-10.70631,77,171.193586
-11.467949,103,171.273449
-12.018942,97,171.274951
-11.335968,103,171.318266
-11.48471,93,171.319786
-10.974944,90,171.399976
-11.155661,91,171.400033
-11.150646,88,171.444461
-10.955114,89,171.447971
-11.078099,85,171.517653
-11.154667,105,171.54545
-11.304066,76,171.551038
-10.902911,80,171.553812
-11.113563,80,171.625593
-10.774959,77,171.659111
-11.146049,91,171.675843
-11.487075,97,171.67856
-11.024706,75,171.729933
-10.866638,91,171.786055
-10.745679,87,171.798579
-11.108477,109,171.826672
-11.522477,94,171.860759
-10.872072,86,171.997986
-10.720647,111,172.019283
-11.333325,95,172.040794
-11.246528,77,172.049906
-10.819417,77,172.105886
-10.868762,92,172.146101
-12.2061825,125,172.211879
-11.6302395,119,172.213537
-10.851223,106,172.253785
-10.700292,83,172.264147
-10.753886,88,172.336345
-11.836815,92,172.340459
-10.6999855,82,172.365664
-10.809965,86,172.380938
-10.835256,75,172.435986
-10.784261,73,172.43766
-11.089704,70,172.4612
-10.815481,68,172.532015
-10.897988,125,172.553877
-11.647053,75,172.568115
-12.328707,116,172.601881
-10.667926,77,172.643827
-11.002833,86,172.676333
-11.055612,86,172.690029
-11.060949,89,172.727563
-10.836111,87,172.765555
-11.271146,95,172.808904
-11.049644,97,172.824712
-11.239198,89,172.852314
-10.975706,89,172.886467
-12.422645,90,172.930377
-11.011198,91,172.946517
-10.8087,80,172.959795
-11.458668,89,173.009528
-11.11942,85,173.048075
-10.797355,75,173.051592
-10.8157015,89,173.082311
-11.786567,98,173.143787
-11.0184,82,173.165361
-11.753669,121,173.213923
-11.456092,99,173.218529
-10.773632,81,173.255173
-10.723719,73,173.264428
-10.735841,91,173.426251
-10.724265,65,173.430867
-10.917785,100,173.444325
-11.070061,78,173.461202
-11.059818,82,173.546687
-10.812102,80,173.556467
-11.159758,99,173.566863
-11.472954,144,173.659393
-11.136151,87,173.676882
-11.16673,90,173.692473
-11.252104,112,173.704411
-10.783056,75,173.763546
-10.992363,89,173.800859
-10.939003,79,173.800909
-11.008095,100,173.843314
-10.774546,72,173.867086
-10.857787,93,173.934854
-11.429091,114,173.964463
-10.982115,69,173.966023
-11.271998,103,173.990386
-10.9365015,94,174.065877
-10.894776,79,174.075621
-10.699892,87,174.086474
-11.075956,83,174.106279
-10.910173,69,174.161472
-10.846521,65,174.165817
-10.824714,77,174.192199
-10.8039465,88,174.225541
-10.691814,77,174.273629
-10.732203,83,174.278392
-11.118318,79,174.303604
-10.773738,77,174.33431
-11.12061,78,174.380303
-10.997513,88,174.398413
-11.466535,80,174.411834
-11.773763,98,174.468367
-11.277871,67,174.472345
-11.10104,77,174.519137
-10.892821,94,174.529847
-10.801223,75,174.575599
-11.546991,83,174.589571
-11.4144335,81,174.640641
-10.730853,90,174.643546
-10.995237,92,174.697864
-10.88668,84,174.702082
-10.879564,90,174.765921
-11.549417,110,174.795041
-10.8920145,77,174.80833
-10.870903,95,174.918227
-11.247441,96,174.986197
-10.796823,85,174.995536
-11.118055,91,175.016589
-11.0901575,84,175.034816
-10.828963,71,175.09288
-10.800799,83,175.099798
-11.344027,88,175.137578
-10.875242,82,175.149382
-10.679182,78,175.201482
-11.323603,92,175.228179
-11.02057,80,175.250472
-10.906771,73,175.302484
-10.63893,72,175.326675
-11.836399,132,175.332378
-11.175599,82,175.362925
-10.696864,79,175.41199
-10.764405,73,175.432993
-11.7165985,82,175.441381
-10.965412,108,175.51231
-10.808285,73,175.534111
-10.905478,98,175.5477
-11.310781,79,175.550368
-10.882598,80,175.620682
-11.136311,72,175.631054
-11.006961,68,175.640393
-11.549841,120,175.711639
-11.163709,80,175.75396
-11.2797165,87,175.754006
-10.920428,113,175.781178
-10.98149,77,175.820287
-11.135384,80,175.864708
-11.172926,86,175.872839
-10.945177,80,175.931641
-11.67737,130,175.959912
-10.761043,82,175.980491
-11.231748,79,175.986137
-11.259935,71,176.063239
-10.848492,97,176.069912
-11.36424,95,176.120781
-11.589984,119,176.149922
-10.971687,71,176.163007
-10.764862,74,176.173741
-11.01178,86,176.240582
-10.95542,75,176.254009
-11.311089,85,176.280704
-11.151035,87,176.367671
-10.933964,96,176.444257
-10.803445,79,176.460997
-11.201782,102,176.466497
-11.028676,78,176.473051
-10.853967,88,176.565524
-11.024928,80,176.5767
-11.614168,103,176.601453
-10.916935,96,176.604383
-10.971761,78,176.667288
-11.186147,86,176.68995
-10.736878,91,176.726152
-11.476936,114,176.761044
-10.793241,74,176.774952
-10.988636,90,176.818124
-10.854033,76,176.83117
-11.023592,73,176.861577
-12.023164,89,176.89729
-10.861557,79,176.929296
-10.799141,81,176.979157
-11.08339,110,176.990305
-10.752167,98,177.035311
-10.805263,79,177.040294
-11.177562,89,177.109725
-11.047515,111,177.130843
-11.066249,80,177.143547
-11.302884,94,177.166034
-10.745585,88,177.226814
-11.404926,78,177.234013
-10.69891,90,177.265213
-11.204297,86,177.282727
-11.743964,79,177.332
-10.771606,94,177.359225
-10.913105,76,177.384824
-11.010194,90,177.386277
-11.888408,97,177.462121
-10.96188,94,177.485442
-11.297884,79,177.49005
-11.700601,110,177.532953
-10.953221,74,177.561766
-11.032806,82,177.599702
-11.115819,76,177.634242
-10.896396,113,177.636646
-11.165434,96,177.687768
-11.088681,74,177.695396
-11.089275,81,177.822947
-11.595268,89,177.837705
-11.133078,68,177.87076
-11.257163,110,177.919463
-10.854701,79,177.942602
-10.80341,91,177.945476
-10.744321,79,177.974667
-10.903101,94,178.046383
-10.850217,81,178.054018
-10.824742,92,178.071915
-10.745412,89,178.096555
-11.08001,69,178.163621
-10.914223,105,178.197165
-11.955677,112,178.200088
-10.892721,85,178.214616
-11.052315,91,178.286457
-11.041529,73,178.293142
-10.964116,73,178.313582
-11.276597,88,178.320088
-10.896869,87,178.412873
-10.748657,98,178.434015
-10.835209,98,178.450469
-10.948154,110,178.473473
-11.1590605,64,178.519014
-10.868036,125,178.574114
-10.747381,95,178.593792
-11.6542,113,178.596336
-10.74967,93,178.637412
-10.833953,74,178.672429
-11.014038,93,178.721961
-11.568005,125,178.765174
-10.846584,97,178.77205
-11.120907,96,178.807778
-11.469309,92,178.84607
-10.732536,84,178.87696
-10.941082,88,178.890935
-10.863471,96,178.937714
-11.071624,76,178.953833
-10.956131,90,179.001031
-11.085443,75,179.038189
-11.152859,110,179.041852
-10.914596,106,179.100312
-11.054889,92,179.131979
-11.387808,81,179.154702
-10.994394,89,179.240282
-11.266164,78,179.284542
-11.15177,80,179.312618
-11.081153,100,179.359096
-11.656267,102,179.369928
-11.103719,83,179.387997
-10.805171,92,179.431562
-11.01153,87,179.476889
-11.138134,82,179.48101
-10.84057,76,179.490216
-11.081562,79,179.540306
-10.792276,84,179.643666
-11.157918,93,179.674137
-11.635221,102,179.67703
-11.076139,69,179.706368
-10.894281,78,179.778611
-10.846809,70,179.795415
-11.053402,95,179.838874
-10.918512,93,179.851521
-11.568365,77,179.911966
-11.45599,90,179.914994
-10.866806,87,179.97555
-10.969572,109,179.997928
-11.173737,87,180.041092
-11.100876,89,180.046756
-10.975358,79,180.109871
-11.5957365,98,180.116395
-10.817867,90,180.159182
-11.702658,107,180.186359
-11.456792,91,180.225591
-10.979392,98,180.243109
-11.187408,88,180.306309
-11.059117,111,180.309603
-10.946861,94,180.357529
-11.44794,89,180.367366
-11.008468,86,180.424355
-11.319231,93,180.435886
-11.204207,89,180.476226
-11.260169,89,180.486844
-10.912356,73,180.522995
-10.681739,79,180.54167
-10.8502445,75,180.586227
-10.791696,86,180.59158
-11.437712,106,180.664276
-10.783533,106,180.68541
-11.114625,98,180.805788
-11.7077675,103,180.807164
-10.978031,82,180.856046
-11.20719,81,180.87672
-11.033303,72,180.911418
-11.001941,77,180.921898
-10.766287,80,180.973996
-11.322427,85,181.027733
-10.89016,101,181.056414
-11.043742,151,181.091141
-11.59889,91,181.100205
-10.86797,88,181.151774
-11.101177,102,181.20295
-11.487745,80,181.204342
-11.048057,105,181.244947
-10.698738,79,181.260423
-10.994618,99,181.342346
-10.995821,101,181.34655
-10.744203,76,181.354695
-10.958202,80,181.375144
-10.833271,73,181.445631
-10.757389,83,181.45535
-11.200134,91,181.477804
-11.155955,77,181.479314
-11.2049055,77,181.55195
-11.0812645,90,181.578901
-11.160128,78,181.586053
-11.04509,95,181.609027
-10.654502,67,181.666343
-11.090129,109,181.695774
-10.842865,85,181.722191
-10.90361,106,181.726243
-10.845022,81,181.802328
-10.918904,103,181.802359
-10.854383,67,181.808761
-10.794489,91,181.845693
-10.800325,75,181.913692
-10.913496,87,181.922895
-11.137735,108,181.949634
-10.833251,81,181.956397
-10.70677,87,182.040526
-10.856488,98,182.046061
-10.908557,78,182.063675
-10.856146,93,182.078105
-11.281412,91,182.248031
-11.236863,75,182.25695
-10.993403,103,182.258209
-11.198063,109,182.289281
-10.972187,74,182.358587
-11.207291,81,182.366874
-11.51505,90,182.369417
-11.646325,111,182.439932
-10.932045,76,182.461396
-10.946312,75,182.471345
-10.710005,86,182.483614
-10.923013,108,182.584084
-10.763434,94,182.597241
-10.77098,90,182.604104
-11.268753,106,182.604134
-10.764893,88,182.7003
-10.868009,77,182.704303
-10.791107,94,182.721409
-11.331979,116,182.761884
-10.792083,90,182.832577
-12.23318,101,182.84399
-11.178058,98,182.859817
-10.941248,93,182.890346
-10.886579,94,182.964449
-10.85289,97,182.980868
-11.255451,87,182.984045
-11.163565,96,183.025681
-11.63224,86,183.083728
-11.087863,92,183.108575
-11.359458,112,183.132474
-11.60459,115,183.180127
-11.092322,89,183.200486
-11.022464,94,183.233052
-10.779361,88,183.251795
-11.287874,96,183.309422
-10.820733,81,183.343692
-11.626494,110,183.350333
-10.678486,82,183.360605
-10.982927,86,183.426645
-11.1056385,90,183.471709
-10.693438,96,183.473134
-10.738648,81,183.533417
-11.263162,131,183.535989
-10.690878,82,183.659658
-10.92099,93,183.674892
-11.559208,107,183.754347
-10.890837,108,183.758376
-10.7184925,87,183.774215
-10.779577,94,183.802391
-10.946987,77,183.864326
-10.855373,69,183.873866
-10.911988,106,183.90966
-10.693474,82,183.919852
-10.737141,91,184.004564
-11.318637,108,184.019209
-10.787204,81,184.034985
-11.1821785,97,184.047474
-10.753763,68,184.128171
-11.069372,81,184.129651
-10.938162,115,184.163769
-11.199845,103,184.191618
-10.761668,83,184.241751
-11.745005,108,184.274745
-11.369716,92,184.28697
-10.794381,90,184.310207
-10.961555,81,184.351928
-10.702551,73,184.375454
-10.747474,102,184.45329
-10.935352,121,184.45607
-11.043356,94,184.485207
-11.081015,90,184.50237
-10.920736,101,184.593009
-10.904057,102,184.596925
-10.940378,73,184.603069
-10.733876,91,184.610549
-11.25967,79,184.703574
-11.086784,77,184.705193
-10.952465,83,184.726685
-10.84176,132,184.784347
-11.066758,85,184.818697
-11.393067,81,184.835462
-10.764999,99,184.836933
-11.442057,91,184.908216
-10.628357,81,184.929217
-11.005629,76,184.938579
-10.93978,76,184.94007
-10.755367,86,185.021951
-10.835501,86,185.119998
-11.562813,91,185.134724
-10.841118,105,185.155223
-10.988663,93,185.244775
-10.963701,112,185.249284
-10.847617,91,185.258423
-10.6889515,84,185.269329
-10.972968,82,185.383322
-11.682627,106,185.391515
-12.480357,114,185.405607
-11.811065,115,185.416079
-10.971911,82,185.504124
-10.929768,93,185.510941
-10.913287,80,185.516237
-11.016083,112,185.569408
-10.671797,79,185.609582
-10.805222,93,185.638627
-10.7200165,95,185.647433
-10.812347,79,185.68111
-11.379364,108,185.764848
-11.628586,94,185.771524
-11.878617,109,185.800269
-11.392263,96,185.814564
-10.771525,83,185.884752
-11.152803,111,185.91566
-10.81349,106,185.944626
-11.0143175,123,185.987082
-10.76074,77,186.02618
-11.968623,133,186.071023
-10.765212,91,186.111341
-10.739335,121,186.113957
-10.94721,87,186.141991
-11.366869,99,186.200055
-11.593743,77,186.213763
-11.467426,104,186.281336
-11.746023,135,186.290618
-10.803513,83,186.314435
-11.032945,101,186.352497
-11.38561,93,186.405323
-11.253495,107,186.45908
-11.919153,132,186.470085
-11.27492,96,186.556781
-11.018332,85,186.596958
-11.221445,95,186.65991
-10.984922,99,186.676134
-10.739578,110,186.703613
-11.500269,114,186.751464
-10.393692,121,186.829117
-11.43317,90,186.832974
-12.392418,114,186.839155
-10.826273,87,186.877205
-10.851707,83,186.956099
-10.875038,94,186.963899
-11.145366,117,186.997284
-10.880968,105,187.023998
-10.76196,85,187.081596
-11.742538,106,187.103248
-11.020611,71,187.123976
-11.282411,106,187.146121
-10.743135,79,187.192752
-11.853349,103,187.249615
-10.923703,89,187.271218
-10.8953285,106,187.272817
-11.819983,122,187.362435
-10.890659,96,187.381656
-10.714217,88,187.393789
-10.727074,102,187.413413
-10.793214,87,187.487188
-10.735568,67,187.507659
-11.286959,99,187.523026
-11.51775,129,187.57728
-10.626597,81,187.618921
-11.369354,120,187.652871
-10.881487,110,187.672829
-11.283503,101,187.71281
-10.889907,81,187.7287
-11.414625,95,187.779216
-10.882429,105,187.812525
-10.786129,69,187.821054
-10.77654,99,187.844868
-10.984777,101,187.918855
-10.673064,83,187.937025
-10.913656,94,188.056947
-11.255327,131,188.073801
-11.221418,96,188.131335
-11.229919,85,188.173213
-10.872101,119,188.181194
-10.719196,94,188.204799
-10.698754,79,188.239092
-10.721735,76,188.284025
-11.754013,94,188.301797
-11.373709,68,188.331106
-11.403868,101,188.339965
-11.076799,80,188.391682
-11.177032,103,188.441918
-10.773388,89,188.452868
-11.369549,96,188.472397
-11.546042,90,188.517976
-10.823467,84,188.558929
-11.211562,95,188.584705
-11.617256,110,188.621321
-11.755004,99,188.649915
-10.908543,75,188.657735
-10.963816,66,188.670705
-10.738671,90,188.740656
-11.077216,93,188.78106
-11.440148,91,188.791644
-11.440075,116,188.804099
-10.884087,115,188.901999
-10.911034,97,188.929578
-10.84597,90,188.932539
-11.794781,116,188.943964
-10.951735,95,189.034391
-10.826772,78,189.055053
-11.51947,109,189.085548
-11.041317,112,189.087094
-11.1285305,95,189.168949
-11.112694,77,189.195144
-11.414182,86,189.207472
-11.855831,112,189.212949
-11.069816,82,189.278207
-10.724095,71,189.288642
-10.968939,91,189.325845
-10.87515,99,189.34217
-10.614292,67,189.368083
-10.815,78,189.529942
-10.78992,126,189.541436
-11.049337,111,189.558647
-10.875669,85,189.566033
-10.982507,84,189.645493
-10.649169,83,189.673478
-12.147416,100,189.679095
-11.371822,84,189.681878
-11.304555,81,189.758442
-10.923102,70,189.776169
-10.864954,78,189.781631
-10.807612,88,189.803071
-10.874395,79,189.8938
-11.018901,108,189.911106
-11.361606,100,189.917791
-10.881704,87,189.926575
-10.776054,73,190.01157
-10.771938,111,190.048085
-11.134796,106,190.064979
-11.235596,116,190.087498
-11.603944,100,190.145107
-10.737713,76,190.166314
-10.765059,95,190.176006
-10.928625,91,190.287226
-11.032086,158,190.299057
-11.356671,116,190.303355
-10.871689,109,190.322909
-10.827347,103,190.429447
-10.979794,81,190.433933
-12.155643,104,190.447069
-10.867862,128,190.475199
-11.463474,85,190.542754
-11.358313,105,190.575144
-11.162654,97,190.576462
-10.252928,107,190.620277
-11.052975,79,190.684327
-11.566406,116,190.704501
-11.875789,103,190.719592
-11.805445,96,190.752524
-11.121761,89,190.82592
-10.919928,94,190.929552
-11.167916,133,190.950236
-11.0500765,120,191.004701
-11.053105,82,191.028208
-11.264036,109,191.087152
-10.881379,93,191.131259
-11.380608,82,191.13865
-12.019728,141,191.148689
-10.730613,83,191.200589
-10.92186,77,191.246285
-11.128898,83,191.247929
-11.203489,72,191.299951
-11.506081,145,191.351641
-11.799567,108,191.398652
-11.537931,110,191.400049
-10.726788,75,191.405238
-10.872983,100,191.493283
-11.328213,77,191.50896
-10.858827,95,191.534881
-11.064129,101,191.548706
-11.311353,69,191.589097
-11.595765,92,191.636279
-11.027022,76,191.654585
-10.667697,92,191.663023
-11.222022,97,191.725411
-11.556129,99,191.773752
-11.360837,82,191.776766
-11.743445,107,191.803367
-11.112307,104,191.866284
-10.993128,68,191.869225
-10.908911,83,191.887197
-11.671774,102,191.943791
-11.245823,83,191.983965
-10.728759,79,191.996185
-11.213791,97,192.000325
-10.943488,121,192.11052
-11.144087,105,192.131288
-11.857071,133,192.188222
-10.843449,87,192.233979
-11.127848,121,192.29554
-10.802642,81,192.295608
-12.644402,223,192.302759
-10.800468,106,192.452332
-10.982806,75,192.483692
-11.0739,110,192.524833
-12.533333,116,192.532032
-11.384987,92,192.611854
-11.025202,131,192.634269
-10.885822,102,192.665424
-11.457913,99,192.669665
-11.272073,106,192.760524
-11.361005,97,192.80684
-11.0554695,96,192.809559
-11.879188,126,192.815748
-11.689977,113,192.923353
-10.743386,94,192.937758
-11.139509,99,192.955174
-10.973653,128,192.991937
-11.6558485,76,193.031244
-10.937092,82,193.066106
-10.788216,110,193.087695
-10.865826,98,193.118769
-12.054813,93,193.148725
-10.899556,77,193.163846
-11.362785,83,193.227391
-12.327936,136,193.270936
-10.950498,99,193.286073
-11.622329,118,193.330342
-10.710125,94,193.365049
-11.059299,80,193.404975
-11.139916,98,193.415695
-11.116902,99,193.476611
-11.781386,109,193.522016
-10.89927,95,193.546621
-10.75234,105,193.550423
-10.967346,84,193.587447
-11.734617,96,193.65054
-10.82413,91,193.672493
-10.720375,91,193.721342
-11.200338,148,193.760427
-11.2917,85,193.873326
-12.343443,129,193.914339
-11.041258,87,193.960331
-11.017941,116,193.961906
-12.1665535,111,194.033734
-10.815988,112,194.074876
-11.145346,97,194.098437
-9.778594,102,194.103305
-10.972025,93,194.156005
-11.100077,110,194.225008
-10.718928,95,194.229711
-11.329203,108,194.255331
-11.13318,94,194.292433
-11.178616,81,194.339864
-10.710511,93,194.360853
-10.919313,83,194.372089
-11.26065,74,194.396094
-10.942436,83,194.471987
-12.144528,116,194.499447
-11.090747,102,194.511324
-11.237865,88,194.515504
-10.748663,90,194.623611
-11.194683,89,194.635722
-10.862629,98,194.643366
-12.378876,148,194.67557
-11.132463,93,194.765704
-11.967117,109,194.772566
-10.860571,90,194.798554
-10.780382,126,194.813997
-10.708822,98,194.890331
-10.694065,84,194.907294
-11.353364,81,194.919366
-11.061026,120,194.927477
-11.7385025,91,195.032913
-12.339712,123,195.058319
-11.627378,110,195.069118
-11.00014,120,195.091343
-11.080589,112,195.190485
-10.820503,96,195.210016
-11.523724,115,195.225396
-11.396078,140,195.375211
-11.2858715,99,195.420923
-10.828206,85,195.431874
-10.845495,131,195.478674
-10.914922,91,195.511938
-11.045242,100,195.574216
-11.839667,110,195.577797
-11.11489,126,195.668075
-10.770592,72,195.684973
-12.308094,120,195.690381
-10.729579,118,195.750572
-11.088186,86,195.788654
-10.824463,87,195.810766
-11.329512,91,195.810808
-11.299851,79,195.862798
-10.842874,95,195.939775
-11.0226555,107,195.953892
-11.750482,134,195.971991
-10.9454975,112,196.006709
-10.669849,87,196.061888
-10.862104,101,196.064332
-11.023302,78,196.104785
-10.867084,113,196.112033
-10.866208,71,196.151932
-10.712489,82,196.215065
-11.074055,110,196.240373
-11.511213,149,196.251855
-9.645335,104,196.282829
-11.470482,88,196.328071
-12.538475,107,196.382069
-11.986693,123,196.415538
-10.888384,120,196.44433
-10.782553,98,196.458888
-10.924311,94,196.512257
-10.75423,94,196.546328
-10.979066,99,196.580945
-10.868646,77,196.652787
-10.965018,107,196.659273
-10.670832,150,196.667713
-11.038634,85,196.775105
-11.454765,77,196.8513
-10.794458,94,196.859101
-10.974041,93,196.864216
-10.032218,142,196.968794
-10.884705,93,196.975417
-10.894227,83,196.975446
-12.713592,145,197.052038
-11.009979,88,197.086483
-11.1825075,92,197.099837
-10.855957,135,197.16031
-10.751077,111,197.21172
-12.032622,111,197.244829
-11.453056,112,197.258274
-10.951461,92,197.28908
-11.078995,83,197.374227
-10.97543,99,197.382147
-10.943249,129,197.388443
-11.296114,105,197.434034
-10.766737,84,197.485416
-10.814547,97,197.510746
-10.857016,91,197.560606
-11.677526,159,197.610566
-10.841391,95,197.624742
-10.838951,82,197.682005
-13.74799,147,197.724224
-11.058907,88,197.734177
-10.931789,82,197.738374
-10.77746,78,197.7839
-12.299959,109,197.88116
-10.89681,109,197.885465
-12.082883,136,197.904983
-11.435537,109,197.931951
-11.240847,84,197.998677
-10.773268,111,198.030825
-11.001507,86,198.050691
-11.718636,122,198.076469
-10.658077,87,198.25423
-11.4998455,106,198.261866
-11.022485,138,198.271488
-10.883262,98,198.290806
-11.328548,87,198.384919
-11.5458975,104,198.402569
-11.152507,90,198.423503
-11.492156,154,198.501655
-10.998257,84,198.514434
-10.922179,82,198.528705
-11.010438,96,198.570874
-11.057064,92,198.63805
-11.0958,85,198.640616
-10.772869,96,198.668565
-10.848406,97,198.708735
-11.446638,96,198.772922
-11.113983,96,198.776292
-11.032243,99,198.809051
-11.459951,72,198.811939
-10.951274,79,198.887756
-11.115083,79,198.921665
-11.528635,121,198.984446
-10.998825,162,199.005552
-10.816697,95,199.024796
-12.026528,103,199.068171
-11.443552,101,199.147432
-13.502018,127,199.164625
-10.887901,71,199.168842
-10.861199,130,199.206633
-10.843478,87,199.271095
-10.875961,94,199.295753
-10.817287,104,199.314808
-11.075206,131,199.383341
-11.159886,96,199.395603
-11.948932,113,199.445713
-11.28026,124,199.477436
-10.73433,98,199.531265
-10.758584,90,199.57156
-11.416954,143,199.583737
-11.55084,98,199.618457
-10.8200865,97,199.747096
-10.816163,104,199.796083
-10.860748,116,199.822469
-11.200419,110,199.847322
-10.85499,96,199.878472
-10.881254,85,199.912146
-10.943844,75,199.92585
-10.755254,126,200.026029
-10.653744,83,200.031929
-10.928436,120,200.050474
-11.3758,103,200.074627
-11.408147,80,200.147465
-11.060939,85,200.175893
-11.344478,107,200.184148
-10.930162,91,200.209196
-10.730134,83,200.266778
-10.723021,84,200.302198
-10.903645,94,200.308633
-11.277068,72,200.309907
-11.030681,69,200.365197
-11.485664,95,200.440536
-10.804597,110,200.454483
-11.252187,126,200.486164
-11.480663,95,200.49707
-10.8400755,73,200.556879
-10.80011,86,200.616571
-11.674179,97,200.62076
-11.743824,149,200.647656
-10.862736,83,200.670494
-11.458491,106,200.765251
-11.115748,111,200.76813
-11.092743,89,200.769516
-10.803641,98,200.802939
-10.815907,100,200.906206
-11.85395,105,200.911385
-11.940867,148,200.971911
-11.226987,144,201.009775
-11.049816,101,201.054267
-11.040253,146,201.120605
-11.230626,92,201.215938
-10.879334,86,201.250261
-12.376743,147,201.25702
-10.772517,107,201.349399
-10.816693,109,201.369546
-11.093518,87,201.373895
-12.1361265,91,201.38619
-11.071977,83,201.46762
-10.921233,82,201.488493
-11.161418,101,201.510425
-11.76608,99,201.523975
-11.110733,118,201.632931
-10.781617,110,201.643607
-13.27493,109,201.678248
-10.95024,130,201.694284
-11.09631,90,201.757224
-9.732452,105,201.788423
-11.332182,86,201.796389
-11.062603,119,201.855397
-10.766145,89,201.907692
-11.673609,126,201.925937
-10.686693,134,201.980559
-11.67325,87,202.031015
-12.975738,139,202.04907
-10.870879,94,202.062346
-10.926985,110,202.139787
-12.680107,141,202.230943
-11.536011,123,202.23507
-10.793091,139,202.247818
-10.874268,109,202.291315
-11.082789,83,202.36386
-10.779392,93,202.36681
-11.434291,107,202.382747
-11.85207,108,202.443727
-11.678294,107,202.521023
-12.345092,121,202.544833
-11.181779,113,202.548992
-11.560022,126,202.715419
-10.717218,85,202.728982
-10.896266,71,202.736674
-12.11922,109,202.789897
-11.368261,94,202.866156
-10.844849,106,202.891402
-12.327587,137,202.91538
-11.030639,100,202.934262
-10.888102,113,203.028988
-10.878655,111,203.06984
-11.400531,129,203.072829
-12.344952,139,203.133134
-11.004272,88,203.154478
-10.924485,73,203.175953
-11.443806,116,203.238247
-10.7472315,93,203.260007
-11.1011715,85,203.272153
-10.722195,105,203.325317
-10.805682,112,203.394267
-10.998721,92,203.399705
-10.937451,108,203.410375
-10.70801,96,203.453454
-11.167805,83,203.502914
-10.677316,87,203.527359
-11.563698,125,203.569173
-11.265907,112,203.608104
-10.769555,85,203.624458
-11.3035965,123,203.69961
-10.904576,76,203.713435
-11.66352,152,203.77957
-11.2077875,114,203.781133
-12.314142,111,203.869211
-11.55768,133,203.886831
-10.7695875,80,203.895225
-10.992783,128,203.963137
-10.972038,99,204.010019
-11.500539,89,204.020638
-11.082625,113,204.046861
-11.248649,108,204.12164
-12.679363,119,204.269567
-11.323236,103,204.282929
-11.181751,141,204.310989
-11.223343,94,204.406259
-10.995751,139,204.409737
-10.749906,77,204.426383
-10.952587,150,204.500209
-12.145176,112,204.567083
-11.135428,114,204.589416
-10.962164,144,204.614599
-12.185465,131,204.688659
-11.401644,87,204.691422
-11.00354,90,204.71735
-10.921406,75,204.722321
-11.172411,95,204.820985
-12.261534,110,204.844895
